eventId,eventStartDate,eventEndDate,eventPeakDate,issueDate,targetDate,leadDays,windowId,modelId,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,sampledValidHoursUtc,qualifies,ungReturnPctPrevCloseToEnd,ngReturnPctPrevCloseToEnd,source
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-16,2021-02-17,1,selloff,ncep-gfs-global-00z-noaa-aws,-14.977,0.632,11,1.06,18,0|6|12|18,true,4.03,7.452,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-15,2021-02-17,2,selloff,ncep-gfs-global-00z-noaa-aws,-13.8,0.566,11,1.06,18,0|6|12|18,true,4.03,7.452,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-14,2021-02-17,3,selloff,ncep-gfs-global-00z-noaa-aws,-14.243,0.67,11,1.06,18,0|6|12|18,true,4.03,7.452,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-10,2021-02-17,7,rumor,ncep-gfs-global-00z-noaa-aws,-14.006,0.736,7,1.06,18,0|6|12|18,true,3.039,1.677,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-09,2021-02-17,8,rumor,ncep-gfs-global-00z-noaa-aws,-13.85,0.726,7,1.06,18,0|6|12|18,true,3.039,1.677,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-08,2021-02-17,9,rumor,ncep-gfs-global-00z-noaa-aws,-15.828,0.783,9,1.06,18,0|6|12|18,true,3.039,1.677,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-1,2021-02-17,2021-02-17,2021-02-17,2021-02-07,2021-02-17,10,rumor,ncep-gfs-global-00z-noaa-aws,-9.694,0.462,6,1.06,18,0|6|12|18,false,3.039,1.677,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-18,2021-02-19,1,selloff,ncep-gfs-global-00z-noaa-aws,-12.392,0.519,9,1.06,18,0|6|12|18,false,2.999,5.838,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-17,2021-02-19,2,selloff,ncep-gfs-global-00z-noaa-aws,-12.623,0.519,9,1.06,18,0|6|12|18,false,2.999,5.838,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-16,2021-02-19,3,selloff,ncep-gfs-global-00z-noaa-aws,-12.599,0.566,9,1.06,18,0|6|12|18,true,2.999,5.838,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-12,2021-02-19,7,rumor,ncep-gfs-global-00z-noaa-aws,-5.135,0.462,6,1.06,18,0|6|12|18,false,0.755,1.041,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-11,2021-02-19,8,rumor,ncep-gfs-global-00z-noaa-aws,-9.029,0.462,7,1.06,18,0|6|12|18,false,0.755,1.041,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-10,2021-02-19,9,rumor,ncep-gfs-global-00z-noaa-aws,-14.344,0.726,9,1.06,18,0|6|12|18,true,0.755,1.041,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-2,2021-02-19,2021-02-20,2021-02-20,2021-02-09,2021-02-19,10,rumor,ncep-gfs-global-00z-noaa-aws,-12.505,0.632,9,1.06,18,0|6|12|18,true,0.755,1.041,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-28,2022-01-29,1,selloff,ncep-gfs-global-00z-noaa-aws,-7.003,0.491,2,1.06,18,0|6|12|18,false,19.897,14.458,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-27,2022-01-29,2,selloff,ncep-gfs-global-00z-noaa-aws,-6.566,0.443,2,1.06,18,0|6|12|18,false,19.897,14.458,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-26,2022-01-29,3,selloff,ncep-gfs-global-00z-noaa-aws,-7.324,0.491,0,1.06,18,0|6|12|18,false,19.897,14.458,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-22,2022-01-29,7,rumor,ncep-gfs-global-00z-noaa-aws,-0.239,0.0,0,1.06,18,0|6|12|18,false,-8.583,-6.631,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-21,2022-01-29,8,rumor,ncep-gfs-global-00z-noaa-aws,-1.639,0.0,0,1.06,18,0|6|12|18,false,-8.583,-6.631,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-20,2022-01-29,9,rumor,ncep-gfs-global-00z-noaa-aws,-0.479,0.0,0,1.06,18,0|6|12|18,false,-8.583,-6.631,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-3,2022-01-29,2022-01-29,2022-01-29,2022-01-19,2022-01-29,10,rumor,ncep-gfs-global-00z-noaa-aws,-2.045,0.0,0,1.06,18,0|6|12|18,false,-8.583,-6.631,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-11,2022-03-12,1,selloff,ncep-gfs-global-00z-noaa-aws,-8.217,0.566,9,1.06,18,0|6|12|18,true,4.48,4.374,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-10,2022-03-12,2,selloff,ncep-gfs-global-00z-noaa-aws,-6.109,0.462,8,1.06,18,0|6|12|18,false,4.48,4.374,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-09,2022-03-12,3,selloff,ncep-gfs-global-00z-noaa-aws,-6.009,0.462,5,1.06,18,0|6|12|18,false,4.48,4.374,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-05,2022-03-12,7,rumor,ncep-gfs-global-00z-noaa-aws,-11.413,0.632,9,1.06,18,0|6|12|18,true,7.635,9.687,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-04,2022-03-12,8,rumor,ncep-gfs-global-00z-noaa-aws,-10.985,0.632,7,1.06,18,0|6|12|18,true,7.635,9.687,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-03,2022-03-12,9,rumor,ncep-gfs-global-00z-noaa-aws,-6.826,0.528,9,1.06,18,0|6|12|18,false,7.635,9.687,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-4,2022-03-12,2022-03-12,2022-03-12,2022-03-02,2022-03-12,10,rumor,ncep-gfs-global-00z-noaa-aws,-2.491,0.245,3,1.06,18,0|6|12|18,false,7.635,9.687,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-5,2022-03-27,2022-03-28,2022-03-28,2022-03-26,2022-03-27,1,selloff,ncep-gfs-global-00z-noaa-aws,-5.687,0.396,1,1.06,18,0|6|12|18,false,8.098,6.479,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-5,2022-03-27,2022-03-28,2022-03-28,2022-03-25,2022-03-27,2,selloff,ncep-gfs-global-00z-noaa-aws,-5.235,0.396,0,1.06,18,0|6|12|18,false,8.098,6.479,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-5,2022-03-27,2022-03-28,2022-03-28,2022-03-24,2022-03-27,3,selloff,ncep-gfs-global-00z-noaa-aws,-4.457,0.264,0,1.06,18,0|6|12|18,false,8.098,6.479,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
actual-heating-cold-5,2022-03-27,2022-03-28,2022-03-28,2022-03-20,2022-03-27,7,rumor,ncep-gfs-global-00z-noaa-aws,-0.247,0.0,0,1.06,18,0|6|12|18,false,3.176,2.422,"NOAA GFS 0.25 degree forecast archive on AWS, 00z run, TMP 2 m above ground"
